article_id,slug,csv,row,original_lp_title,repaired_title
article_7668bd07bf9c,ai-helpdesk-basics-for-beginners,adradar_2026-07-14.csv,8,Discovaz access denied,AI Helpdesk Basics for Beginners
article_d9dd0cf72bd3,allgemeines-wissen-von-ki-automatisierung-wie-intelligente-systeme-unseren-alltag-2026-ver,adradar_2026-07-14.csv,109,Allgemeines Wissen von KI Automatisierung: Wie intelligente Systeme unseren Alltag 2026 ver?ndern - Discovaz,Allgemeines Wissen von KI Automatisierung: Wie intelligente Systeme unseren Alltag 2026 verändern
article_50e292b8e86e,discover-how-ai-agents-are-used-simple-examples-for-everyday-life,adradar_2026-07-14.csv,27,Discovaz access denied,Discover How AI Agents Are Used: Simple Examples for Everyday Life
article_fd0eca374933,email-marketing-for-new-customers-a-simple-inbox-welcome,adradar_2026-07-14.csv,15,Discovaz access denied,Email Marketing for New Customers: A Simple Inbox Welcome
article_bea80148246e,get-insights-on-create-ai-agent-costs-myths-and-the-smarter-fix,adradar_2026-07-14.csv,58,,"Get Insights on Create AI Agent: Costs, Myths and the Smarter Fix"
article_113f9f3fa8dd,how-ai-agents-are-changing-the-world-top-use-cases-in-2026,adradar_2026-07-14.csv,33,Discovaz access denied,How AI Agents Are Changing the World: Top Use Cases in 2026
article_28d17e97bfe8,how-automation-equipment-manufacturer-product-testing-makes-your-world-safer-in-2026,adradar_2026-07-14.csv,121,,How Automation Equipment Manufacturer Product Testing Makes Your World Safer in 2026
article_cd9293929ca0,how-modern-waste-management-companies-keep-our-neighborhoods-clean-and-green-in-2026,adradar_2026-07-14.csv,21,Discovaz access denied,How Modern Waste Management Companies Keep Our Neighborhoods Clean and Green in 2026
article_aab3d61af8fe,how-to-learn-broadly-about-ai-automation-solutions-in-2026,adradar_2026-07-14.csv,6,Discovaz access denied,How to Learn Broadly About AI Automation Solutions in 2026
article_854a82e21a50,individuelle-bauplane-einfach-mit-software-erstellen,adradar_2026-07-14.csv,68,Individuelle Baupl?ne einfach mit Software erstellen - Discovaz,Individuelle Baupläne einfach mit Software erstellen
article_922a7ecb1928,learn-broadly-on-custom-build-software-your-journey-to-digital-success,adradar_2026-07-14.csv,18,Discovaz access denied,Learn Broadly on Custom Build Software: Your Journey to Digital Success
article_922a7ecb1928,learn-broadly-on-custom-build-software-your-journey-to-digital-success,adradar_2026-07-14.csv,34,Discovaz access denied,Learn Broadly on Custom Build Software: Your Journey to Digital Success
article_d02e5cf1d664,learn-how-to-build-your-dream-car-with-free-autodesk-construction-software,adradar_2026-07-14.csv,28,Discovaz access denied,Learn How to Build Your Dream Car With Free Autodesk Construction Software
article_144b4d10f292,sme-phone-packages-explained-types-features-and-costs,adradar_2026-07-14.csv,26,Discovaz access denied,"SME Phone Packages Explained: Types, Features, and Costs"
article_c04387cbe18d,the-complete-guide-to-home-elevators,adradar_2026-07-14.csv,4,Discovaz access denied,The Complete Guide to Home Elevators
article_fc05d781c92f,understanding-skins-construction-software-a-2026-flat-rate-guide,adradar_2026-07-14.csv,20,Discovaz access denied,Understanding Skins Construction Software: A 2026 Flat-Rate Guide
article_160f2ea5f8f0,virtuelle-ki-agenten-digitale-helfer-erforschen-neue-moglichkeiten,adradar_2026-07-14.csv,111,Virtuelle KI-Agenten: Digitale Helfer erforschen neue M?glichkeiten - Discovaz,Virtuelle KI-Agenten: Digitale Helfer erforschen neue Möglichkeiten
